product_code,description,size,order_unit,invoice_count,purchase_line_count,total_quantity,min_price,max_price,latest_price,latest_date
SOU008,APPLE SOURZ 70cl x6,,EA,1,1,1.0,8.77,8.77,8.77,2026-06-19
SOU012,SOURZ CHERRY 70cl x6,,EA,1,1,1.0,8.77,8.77,8.77,2026-06-19
SOU016,SOURZ RASPBERRY 70cl x6,,EA,1,1,1.0,8.77,8.77,8.77,2026-06-19
SPI001,CAPT MORGAN SPICED RUM 70cl x6,,EA,8,8,12.0,12.59,12.99,12.99,2026-06-26
SPI002,CAPT MORGAN SPICE 1.5L x6,,EA,1,1,1.0,27.09,27.09,27.09,2026-04-17
STI003,STIVY'S - KOLA KUBES 6X70CL,,EA,1,1,2.0,11.23,11.23,11.23,2026-03-20
STR047,STRATHMORE STILL 12 X 75CL,,CS,1,1,1.0,12.22,12.22,12.22,2026-05-01
T00014703,ALFIERI MARSALA 75x6,,EA,1,1,1.0,8.98,8.98,8.98,2026-05-01
T00020613,F'STONE MUSIC ROOM CABER 75x6,,EA,1,1,1.0,14.87,14.87,14.87,2026-03-20
T00029324,CASA ALBALI VERDJ/SAUV 75X6,,EA,1,1,10.0,5.78,5.78,5.78,2026-02-20
T00029357,DA LUCA PROSECCO 75X6,,EA,6,6,49.0,7.86,7.86,7.86,2026-06-26
T00031626,DA LUCA PROSECCO 20X24,,CS,7,7,8.0,61.2,61.63,61.2,2026-06-26
T00032446,PEPSI MAX 200X24,,CS,7,7,8.0,10.76,10.76,10.76,2026-06-26
T00033839,BORGO TESIS CAB/SAUV 75x12,,EA,3,3,8.0,0.0,0.0,0.0,2026-05-01
T00033841,BORGO TESIS PINOT GRIGIO 75x12,,EA,9,10,114.0,0.0,7.34,7.34,2026-05-08
T00035757,SANTA RITA 8KM MERLOT 75x6,,EA,6,6,41.0,6.3,6.3,6.3,2026-06-12
T00035765,ALMA MORA RESERVE MALBEC 75X6,,EA,3,3,19.0,7.91,8.04,8.04,2026-06-12
T00037459,OS PULPO NZ SAUV BLANC 75X6,,EA,3,3,22.0,8.59,8.59,8.59,2026-06-12
T00040082,DA LUCA PROSECCO ROSE 75X6,,EA,1,1,6.0,8.08,8.08,8.08,2026-04-10
T00040844,PULPO WEST CAPE SAUV B 75X6,,EA,3,3,25.0,6.43,6.43,6.43,2026-05-22
T00041945,EL CUYO MALBEC 75X6,,EA,10,10,74.0,6.36,6.48,6.48,2026-06-26
T00044132,TANQUERAY LONDN DRY 41.3% 70X6,,EA,3,3,3.0,16.97,17.21,17.21,2026-06-12
T00044657,PETAL AND STEM SAUV BL 75x6,,EA,1,1,16.0,7.4,7.4,7.4,2026-01-09
T00044659,WKD BLUE VODKA PET 275X24,,CS,1,1,1.0,25.16,25.16,25.16,2026-06-19
T00045153,MALIBU 70x6,,EA,2,2,2.0,10.99,13.22,10.99,2026-06-12
T00045359,BRITVIC MIXERS BASE 7LX1,,EA,3,3,3.0,76.65,76.65,76.65,2026-05-01
T00045360,BRITVIC HALO R WHITE BASE 7LX1,,EA,2,2,2.0,61.75,63.44,63.44,2026-03-20
T00045362,BRITVIC DISPENSE GINGER 5CLX1,,EA,1,1,1.0,45.0,45.0,45.0,2026-04-24
T00045363,BRITVIC DISPENSE RASPBY 5CLX1,,EA,1,1,1.0,45.0,45.0,45.0,2026-06-19
T00045365,BRITVIC HALO LEMON 5CLX1,,EA,3,3,3.0,45.0,45.0,45.0,2026-06-19
T00045634,BRITVIC DISPENSE TONIC 5CLX1,,EA,2,2,2.0,45.0,45.0,45.0,2026-04-24
T00045890,MAGLIA ROSA PG 10.5% 75X12,,EA,5,5,42.0,5.38,5.38,5.38,2026-06-26
T00045954,CORTE VIGNA PG 10.5% 75X12,,EA,4,4,22.0,5.01,5.47,5.47,2026-04-10
T00046000,CRABBIES GING BEER 3.4% 500X12,,CS,1,1,2.0,15.54,15.54,15.54,2026-05-01
T00046001,MAGLIA ROSA BLUSH 10.5% 75X12,,EA,9,9,61.0,5.0,5.46,5.46,2026-06-08
T00046117,SMIRNOFF RASPB CRUSH 35% 70X6,,EA,1,1,2.0,16.53,16.53,16.53,2026-03-20
T00046200,WHISP HILLS WHT ZINF 8% 75X6,,EA,10,10,89.0,3.99,4.09,4.09,2026-06-26
T00046429,JOSE CUERVO ESP SILV 35% 70X6,,EA,1,1,1.0,19.47,19.47,19.47,2026-03-20
T00046437,GLENMORANGIE ORIG 12 YO 70X6,,EA,1,1,1.0,28.1,28.1,28.1,2026-02-27
T00046582,GORDONS PINK 35% 1.5LX6,,EA,1,1,1.0,28.49,28.49,28.49,2026-04-17
T00046586,GORDONS PINK 35% 70X6,,EA,4,4,7.0,13.29,13.99,13.99,2026-06-19
T00046654,PATRON XO CAFE 70X6,,EA,1,1,1.0,39.18,39.18,39.18,2026-03-20
T00046710,SANTA RITA 8KM SAUVB 12.5%75X6,,EA,11,11,80.0,5.72,6.3,6.3,2026-06-26
T00046734,PEPSI NRB 200x24,,CS,11,11,15.0,12.07,13.44,13.44,2026-06-19
T00047414,LA CAMPAGNE CHARDONNAY 75x6,,EA,6,6,52.0,6.06,6.21,6.21,2026-05-22
T00047627,LA CAMPAGNE MERLOT 75x6,,EA,5,5,32.0,6.29,6.29,6.29,2026-05-22
T00047689,FAMOUS GROUSE WHISKY 70X6,,EA,5,5,6.0,12.99,15.76,12.99,2026-06-26
T00047967,BABYDOLL SAUVIGNON BLANC 75X6,,EA,1,1,1.0,8.32,8.32,8.32,2026-03-20
T00048153,HIGHLAND SPRING STILL 330X24,,CS,2,2,2.0,9.7,9.7,9.7,2026-02-27
T00048727,DIET PEPSI BIB 7LX1,,CS,2,2,3.0,51.88,51.88,51.88,2026-06-19
T00048728,R WHITES SUGAR FREE BIB 7LX1,,CS,6,6,6.0,42.94,45.35,42.94,2026-06-19
T00048731,PEPSI MAX BIB 7LX1,,CS,8,8,11.0,51.88,54.19,51.88,2026-06-19
T00049433,KOPPARBERG MANGO NRB 500X15,,CS,2,2,2.0,0.0,0.0,0.0,2026-05-01
TEN172,TENNENTS 10 OZ GLASSWARE X 24,,CS,1,1,1.0,0.0,0.0,0.0,2026-05-08
TEQ001,TEQUILA ROSE 6X70CL,,EA,1,1,4.0,12.99,12.99,12.99,2026-05-01
TIA001,TIA MARIA 20% 70cl x6,,EA,3,3,8.0,15.95,16.4,16.4,2026-06-12
TON004,BSD TONIC 200MLX24,,CS,6,8,8.0,0.0,13.68,13.68,2026-06-19
TON005,BSD TONIC LOW CAL 200MLX24,,CS,4,4,5.0,13.68,13.68,13.68,2026-06-19
WIL008,WILDWOOD SHIRAZ 6X75CL,,EA,2,2,28.0,9.63,9.63,9.63,2026-05-01
