source_file,source_name,month,document_type,invoice_number,invoice_date,pages,line_count,line_goods_sum,net_total,vat_total,document_total,filename_total,line_difference,filename_difference,free_of_charge,status
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.04 Tennet/4.24 1096.20 3654767_77987739.pdf,4.24 1096.20 3654767_77987739.pdf,2026.04,invoice,3654767,2026-04-24,3,20,913.82,913.82,182.78,1096.6,1096.2,0.0,0.4,False,review
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.05 Tennet/3669570_78085010.pdf,3669570_78085010.pdf,2026.05,invoice,3669570,2026-05-08,1,3,0,0.0,,,,0.0,,True,free_of_charge
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.05 Tennet/5.01 183.92 3660738_78043265.pdf,5.01 183.92 3660738_78043265.pdf,2026.05,invoice,3660738,2026-05-01,2,5,154.57,154.57,29.35,183.92,183.92,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.05 Tennet/5.01 4063.79 3660286_78042815.pdf,5.01 4063.79 3660286_78042815.pdf,2026.05,invoice,3660286,2026-05-01,5,53,3386.5,3386.5,677.29,4063.79,4063.79,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.05 Tennet/5.08 1086.17 3669469_78084909.pdf,5.08 1086.17 3669469_78084909.pdf,2026.05,invoice,3669469,2026-05-08,2,18,905.15,905.15,181.02,1086.17,1086.17,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.05 Tennet/5.15 708.66 3674410_78131825.pdf,5.15 708.66 3674410_78131825.pdf,2026.05,invoice,3674410,2026-05-15,1,5,590.55,590.55,118.11,708.66,708.66,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.05 Tennet/5.22 1737.92 3679196_78173360.pdf,5.22 1737.92 3679196_78173360.pdf,2026.05,invoice,3679196,2026-05-22,2,24,1448.26,1448.26,289.66,1737.92,1737.92,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.06 Tennet/6.05 2098.32 3694425_78286129 (1).pdf,6.05 2098.32 3694425_78286129 (1).pdf,2026.06,invoice,3694425,2026-06-08,2,22,1748.59,1748.59,349.73,2098.32,2098.32,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.06 Tennet/6.12  2946.34 3698984_78324780.pdf,6.12  2946.34 3698984_78324780.pdf,2026.06,invoice,3698984,2026-06-12,3,40,2455.25,2455.25,491.09,2946.34,2946.34,0.0,0.0,False,ok
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.06 Tennet/6.19 1476.07 3704017_78369206.pdf,6.19 1476.07 3704017_78369206.pdf,2026.06,invoice,3704017,2026-06-19,2,28,1230.55,1230.55,246.12,1476.67,1476.07,0.0,0.6,False,review
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.06 Tennet/6.26  1622.84 3708593 _78414264.pdf,6.26  1622.84 3708593 _78414264.pdf,2026.06,invoice,3708593,2026-06-26,2,22,1352.35,1352.35,270.49,1622.84,1622.84,0.0,0.0,False,ok
