source_file,source_name,month,document_type,invoice_number,invoice_date,page,product_code,description,description_note,size,order_unit,quantity,net_price_per_order_unit,goods_value,vat_rate
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00045360,BRITVIC HALO R WHITE BASE 7LX1,ALL BUSINESS UNITS,,EA,1.0,61.75,61.75,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00045954,CORTE VIGNA PG 10.5% 75X12,SHARED ITEM,,EA,4.0,5.01,20.04,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00046200,WHISP HILLS WHT ZINF 8% 75X6,SHARED ITEM,,EA,6.0,3.99,23.94,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00046586,GORDONS PINK 35% 70X6,All Business Units,,EA,1.0,13.29,13.29,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,2,T00046734,PEPSI NRB 200x24,,,CS,1.0,12.07,12.07,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,3,T00047414,LA CAMPAGNE CHARDONNAY 75x6,Shared Sku,,EA,10.0,6.06,60.6,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,3,T00047689,FAMOUS GROUSE WHISKY 70X6,ALL BUSINESS UNITS,,EA,1.0,15.62,15.62,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,3,T00048731,PEPSI MAX BIB 7LX1,All Business Units,,CS,1.0,54.19,54.19,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.20 2199.41 3604367_77576034.pdf,2.20 2199.41 3604367_77576034.pdf,2026.02,invoice,3604367,2026-02-20,3,TIA001,TIA MARIA 20% 70cl x6,,,EA,2.0,15.95,31.9,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,400745,Caledonia Best 30L Keg,,30L,EA,1.0,52.94,52.94,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,80000142,MAGNERS ORIG 24x330ml NRB,,,CS,2.0,18.87,37.74,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,ANT002,ANTICA SAMBUCA 70cl x6,,,EA,3.0,14.43,43.29,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,ARC001,ARCHERS 18% 70cl x6,,,EA,1.0,13.13,13.13,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,BAC003,BACARDI WHITE RUM 6X70CL,,,EA,1.0,14.89,14.89,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,BAI003,BAILEYS IRISH CRM 1.5L x6,,,EA,1.0,26.76,26.76,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,BLA012,BLACK BOTTLE WSKY 70cl x6,,,EA,1.0,17.9,17.9,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,COU002,COURVOISIER VS 6X70CL,,,EA,1.0,24.04,24.04,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,GLE086,GLEN MORAY CLASSIC 6X70CL,,,EA,1.0,21.04,21.04,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,JAC001,JACK DANIELS 70cl x6,,,EA,2.0,18.99,37.98,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,KOP018,KOPPARB S/LIME ALC FREE 8X500,,,CS,1.0,11.13,11.13,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,KRA001,KRAKEN SPICED DARK RUM 6X70CL,,,EA,1.0,20.49,20.49,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,MAR003,MARTELL VS 70cl x6,,,EA,1.0,26.71,26.71,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,OVD002,O.V.D. RUM 6X70CL,,,EA,1.0,19.08,19.08,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,PEP023,DIET PEPSI 24 X 200ML NRB,,,CS,1.0,12.37,12.37,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,RED009,RED BULL CAN 24 X 250ML CAN,,,CS,1.0,26.61,26.61,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,SMIR03,Smirnoff - Red 6x70cl,,,EA,12.0,12.29,147.48,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,1,T00033841,BORGO TESIS PINOT GRIGIO 75x12,SHARED ITEM,,EA,12.0,7.31,87.72,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,2,T00035765,ALMA MORA RESERVE MALBEC 75X6,SHARED ITEM,,EA,6.0,7.91,47.46,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,2,T00046437,GLENMORANGIE ORIG 12 YO 70X6,ALL BUSINESS UNITS,,EA,1.0,28.1,28.1,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,2,T00046734,PEPSI NRB 200x24,,,CS,1.0,12.07,12.07,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,2,T00047689,FAMOUS GROUSE WHISKY 70X6,ALL BUSINESS UNITS,,EA,1.0,15.62,15.62,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.02 Tennet/2.27 905.11 3608751.pdf,2.27 905.11 3608751.pdf,2026.02,invoice,3608751,2026-02-27,2,T00048153,HIGHLAND SPRING STILL 330X24,All Business Units,,CS,1.0,9.7,9.7,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.13 1912.51 3621312_77713510.pdf,3.13 1912.51 3621312_77713510.pdf,2026.03,invoice,3621312,2026-03-13,1,090425,T.LAGER 11G KEG,small container chg 70p incl,11G,EA,1.0,130.75,130.75,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.13 1912.51 3621312_77713510.pdf,3.13 1912.51 3621312_77713510.pdf,2026.03,invoice,3621312,2026-03-13,1,400745,Caledonia Best 30L Keg,,30L,EA,1.0,55.45,55.45,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.13 1912.51 3621312_77713510.pdf,3.13 1912.51 3621312_77713510.pdf,2026.03,invoice,3621312,2026-03-13,1,400751,Menabrea 4.8% 50L Keg,,50L,EA,1.0,174.01,174.01,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.13 1912.51 3621312_77713510.pdf,3.13 1912.51 3621312_77713510.pdf,2026.03,invoice,3621312,2026-03-13,1,80000142,MAGNERS ORIG 24x330ml NRB,,,CS,1.0,19.44,19.44,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.13 1912.51 3621312_77713510.pdf,3.13 1912.51 3621312_77713510.pdf,2026.03,invoice,3621312,2026-03-13,1,BUD010,BUDWEISER 4.5% 24X330ML,,,CS,2.0,22.77,45.54,20.0
/Users/xue/Downloads/Bar drinks invoices 2026.1-6/2026.03 Tennet/3.13 1912.51 3621312_77713510.pdf,3.13 1912.51 3621312_77713510.pdf,2026.03,invoice,3621312,2026-03-13,1,COR008,Corona Beer 24x330ml NRB ABI,,,CS,1.0,26.05,26.05,20.0
